acx,acy,acz,gyx,gyY,gyz,cluster
-1004,11304,-10564,-496,855,-565,1
356,8500,-8100,-496,2443,-484,1
-1012,12432,-9716,-480,-1717,-2089,1
-2992,11312,-11248,-480,-878,-1118,1
2136,14880,-8936,-480,-1783,-4391,1
-1536,10888,-12156,-480,-1249,-1026,1
1568,12416,-11208,-448,315,-2079,1
-1136,13040,-8908,-416,-812,-2872,1
1504,972,-16736,-448,3331,-1421,1
-196,11616,-11612,-416,763,-493,1
-3896,14076,-5664,-384,3889,-2990,0
-3416,7912,-14264,-416,525,-1766,1
-2428,14296,-10068,-448,-5240,-5080,1
508,12016,-12748,-416,1037,-2509,1
-3808,3352,-15328,-416,3408,380,1
3520,14892,-7172,-384,895,-4538,1
-2220,2892,-15700,-400,2243,353,1
1660,11688,-12372,-400,-3234,-2573,1
-3028,9760,-13396,-384,-522,-1760,1
-3508,11760,-12340,-400,190,-1401,1
2936,13224,-12444,-384,3995,-4866,1
-3364,5088,-14524,-384,-1406,366,1
-3444,7652,-8288,-384,4348,-1989,1
3648,15096,-10456,-400,732,45,1
852,11816,-10564,-400,-271,-1893,1
3012,14300,-9000,-384,2177,-1215,1
-656,9876,-13788,-368,-108,-1917,1
2164,15504,-8548,-384,3027,-1985,1
-1052,13276,-10588,-384,-1964,-826,1
-5920,15428,-5596,-384,-2978,-1105,0
180,24380,2140,-384,13433,3087,1
5268,14580,-8172,-1568,774,-2117,1
5720,12876,-7484,-1584,25,-1751,1
5340,13912,-7016,-1552,-37,-1729,1
5544,13500,-8104,-1536,-116,-1824,1
5328,12300,-7060,-1520,-152,-2202,1
5256,13780,-7356,-1584,98,-2173,1
5436,13444,-7848,-1552,59,-1796,1
5428,13808,-7788,-1536,80,-1895,1
5536,13372,-7760,-1536,-147,-1768,1
5596,13172,-8020,-1504,164,-1887,1
4632,13704,-8420,-1488,113,-1525,1
6512,11164,-9248,-1488,2058,-2400,1
-15224,32767,-6264,-576,-6822,-11549,0
-9844,25300,-1636,-528,12509,202,0
-7044,13468,-2216,-544,1270,-1426,0
-7384,13936,-3928,-528,-33,-1825,0
-2552,15744,-320,-528,2288,1173,0
-5644,11972,-5880,-560,-645,-4461,0
-10468,12856,-3248,-528,1282,-2746,0
2748,18492,-1832,-512,2055,728,1
-6028,13896,-6328,-480,-716,-1672,0
-5760,15876,-2040,-464,6639,-374,0
-4936,12572,932,-528,1959,-2371,0
-6352,14268,-1700,-496,-4020,-2555,0
-9728,9364,-1916,-496,6817,678,0
-6832,16460,-248,-480,-647,-1301,0
-6396,15420,84,-464,-7354,3143,0
-5956,17136,1400,-448,1754,-7888,0
-8088,12644,3012,-416,145,445,0
-9100,22348,764,-432,-7236,-1343,0
-6864,11624,-676,-464,916,-672,0
-8396,14376,-696,-448,-544,-1894,0
-15296,8192,5540,-448,8317,-4509,0
-2340,16364,-2376,-432,-1734,273,1
-7184,14820,3680,-432,920,-4307,0
-6452,12448,3832,-464,1331,-1571,0
-4904,14260,-1176,-416,936,-2750,0
-7548,12644,2836,-448,1448,473,0
-5424,16852,3176,-416,1970,-3077,0
-7608,14984,2776,-416,2138,-5141,0
-2876,10388,3436,-432,5676,4266,0
-3636,9488,868,-432,2017,-889,0
-4740,13456,4592,-416,7575,-9886,0
-6472,15072,-1316,-448,732,-1288,0
-10060,15688,5600,-384,4771,378,0
-5796,15668,-4100,-448,-3214,-2574,0
-6056,20476,2240,-432,-702,-2083,0
-332,14976,-2212,-416,276,-1065,1
-1388,15144,-2788,-416,-105,2277,1
-2444,16256,1152,-448,1470,-3275,0
-6404,17268,8,-432,-3700,91,0
-7068,15624,-272,-384,982,-79,0
-9412,12664,-488,-432,-1053,-2489,0
-32768,6692,3176,-400,-6215,-4668,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
5112,-3604,-15544,-1408,46,-1623,1
-1048,612,-14196,-1392,-2035,-1812,1
-2164,-192,-15928,-1392,541,-2160,1
1644,184,-15840,-1408,-1037,-2598,1
3548,-5396,-15976,-1408,-1832,-1151,1
2888,-6052,-16496,-1408,-579,-370,1
212,-5752,-16112,-1392,1651,-431,1
144,-2044,-16516,-1392,1131,-2367,1
3324,-4932,-15680,-1344,-1361,-1644,1
-500,-4452,-15716,-1344,1573,-1524,1
944,-4168,-16616,-1376,-1162,-3463,1
3180,-7344,-14892,-1376,647,-130,1
684,-5672,-16104,-1376,1116,-1692,1
2968,-4112,-16072,-1376,-964,-2557,1
-464,-3588,-15464,-1344,2467,-1769,1
1100,-4316,-15872,-1344,-2150,-2789,1
3272,-5964,-15516,-1344,-984,-1273,1
384,-4544,-16108,-1344,768,-1971,1
3528,-5452,-15488,-1408,-799,-1707,1
1524,-5648,-15844,-1376,1153,-1523,1
2040,-4576,-15412,-1328,-27,-2847,1
3172,-4620,-16112,-1344,3933,-1357,1
3292,-5960,-16208,-1376,-3023,-1311,1
7976,-2256,-15428,-1376,-4699,565,1
10804,-6264,7588,-1056,-1935,-7998,1
14984,4568,-6340,-1040,14997,3969,1
14368,276,-9136,-1024,-4134,-15321,1
14564,452,-8372,-1024,186,-1349,1
16120,3196,-2212,-976,-63,-1822,1
11080,-11520,-8252,-992,839,-3676,1
13956,3748,-9676,-960,1096,-1905,1
340,-2012,-16096,-1008,-720,-1030,1
7836,636,-11488,-992,-4090,-2920,1
5004,-7280,-9344,-960,-4624,-776,1
8884,-2720,-13788,-960,632,-99,1
-1460,180,2208,-960,-6723,-8960,0
8268,-308,-15620,-944,-45,-2022,1
6732,3648,-14788,-944,-1129,44,1
12956,-7840,-10344,-944,6250,102,1
13072,3660,-13636,-928,5123,-2034,1
16288,2912,-16184,-944,-3506,-6834,1
648,-5200,-15548,-960,1939,-2312,1
11692,-12940,-8080,-928,12130,-6466,1
5680,-12224,-10360,-944,-814,1200,1
12092,-14964,-11144,-912,9611,-1182,1
964,-8800,-9836,-928,-1940,-1156,1
10872,-11132,-7848,-912,1917,-1995,1
5300,-9264,-11364,-928,5315,-3426,1
14568,2232,-6532,-944,4774,-814,1
11904,3220,-6936,-1936,-2067,-5222,1
-15828,-4404,2724,-1952,-1812,-8736,0
15176,28920,8328,-1952,32767,-12935,1
17040,-4040,-10440,-1968,-20964,12817,1
-7388,-6556,7064,-1984,-14704,-2923,0
-11192,-4744,3596,-1936,-14847,4122,0
-13096,3900,4604,-1936,1000,-3177,0
-17412,-8032,2336,-1984,746,-1139,0
-11332,9540,-7836,-1920,-3902,-3913,0
-14732,-7476,4264,-1904,-683,468,0
-13716,2896,-9648,-1920,851,-2638,0
-13980,5016,-5608,-1888,1839,-2625,0
-15036,3620,-5868,-1856,-24,-1580,0
-10600,4592,-12888,-1872,2090,-1149,0
-9216,6228,-11976,-1904,80,471,0
-11428,5628,-11688,-1888,-1310,-1098,0
-14808,1612,-4620,-1888,41,-3801,0
-15272,5132,-9184,-1888,4938,-8545,0
5160,1624,-3552,-1904,32767,19062,1
-11164,-9184,7496,-1888,-386,-2036,0
-11624,-8620,7616,-1952,-50,-1898,0
-11260,-7420,7252,-1920,52,-2344,0
-12780,-5768,8360,-1872,666,-2108,0
-14320,-10644,7152,-1904,-18024,-6726,0
14616,-15232,8704,-1888,-32768,8983,1
2732,-3372,624,-1872,-32768,-12745,1
-7692,17688,-5168,-1888,-19958,-16400,0
-3324,29564,-12424,-1888,-6309,-32768,1
13504,4428,-5032,-1920,-1744,408,1
-6760,1548,6660,-1856,-2213,-1313,0
-10176,-7728,8476,-1888,-1634,-2144,0
-12288,-6036,8124,-1856,-58,-1750,0
-14244,-2188,8456,-1888,-2423,-2381,0
-12816,1360,9404,-1888,-199,-1560,0
-15828,-2232,12644,-1872,-7825,-5524,0
4312,12680,-136,-1856,28285,12196,1
-14984,12284,-428,-1856,4327,-1681,0
-14172,-3908,6160,-1872,-1082,-602,0
-14096,-5632,7376,-1824,-540,-856,0
-12600,-9588,3232,-1856,312,-2790,0
-13160,-3136,-2272,-1888,-1208,-5779,0
-8736,1040,10500,-1840,14805,-7490,0
-10136,-10628,-6136,-1872,1930,-6154,0
-17744,-9508,2168,-1888,2731,-6661,0
-11220,-4196,1672,-1840,7406,-6843,0
13968,-6220,-6076,-608,5060,-327,1
11488,-4000,-5224,-576,1874,-3599,1
7876,-10960,-1904,-592,-196,2187,1
10352,-20096,-4144,-592,10391,6184,1
6572,-2836,-1764,-640,-8829,-3211,1
13532,-5356,-18960,-640,156,-631,1
10700,-3708,-9700,-608,-12289,-5674,1
3852,-12588,-10592,-608,-519,-12593,1
10912,3068,-11156,-592,840,49,1
11408,5412,-10456,-608,-1489,-5709,1
13196,1548,-8080,-624,4095,-50,1
7484,5100,-8024,-560,64,-2392,1
-2872,-5900,-11784,-576,2828,1258,1
7648,1040,-14076,-576,-1980,-2245,1
15120,476,-4724,-544,-1251,-1296,1
9112,-672,-11412,-576,12128,4784,1
9856,-3040,-816,-576,-6534,131,1
6644,3884,-12384,-560,13148,-1975,1
5704,-12128,2184,-560,11117,-1555,1
10364,1028,-10988,-544,471,-978,1
18112,3568,-14264,-576,-30172,7200,1
32767,18884,-16408,-592,10582,-15811,1
7160,2884,-5952,-560,4150,-1775,1
4900,4736,-8172,-560,4925,526,1
10016,3856,-7704,-560,-330,-6398,1
8808,9992,-11260,-592,1174,-1991,1
10444,10228,-4092,-576,-3703,3105,1
8668,11552,-7816,-560,9607,-1951,1
13856,8,-7472,-576,-147,-1871,1
14756,1000,-7764,-544,17,-2071,1
32767,32767,-21712,-576,32767,-32768,1
32767,-24592,-32768,-592,24586,14062,1
11600,-14812,3708,-560,-14008,9984,1
5088,2948,-2864,-560,-32768,32767,1
8400,4856,-2548,-672,19748,7582,1
16688,2284,-5852,-656,605,292,1
14056,124,-6940,-640,-347,-2103,1
14252,2016,-8708,-656,-580,-1950,1
7196,2328,-5840,-608,-1858,-9514,1
13112,360,-10484,-624,535,-1803,1
6188,3652,-10844,-640,9233,-6287,1
8044,-1864,-13008,-624,3315,-5241,1
14572,-2248,-8132,-640,-161,-2103,1
4992,-4928,-7540,-608,-9071,-3034,1
10152,4448,-7216,-656,452,-1996,1
4136,1908,-16204,-608,-7689,-4415,1
14384,10680,-17428,-624,-1560,-5729,1
8004,176,-14832,-624,-746,-2101,1
7404,-156,-13676,-624,1116,-1341,1
6688,8848,-6124,-656,3280,-587,1
11936,4732,-15964,-656,5436,3001,1
2940,-8812,3992,-624,2180,-12080,1
5528,-1844,-14548,-672,5177,-2239,1
8268,8628,-29316,-608,8729,972,1
-3880,10296,-15276,-640,-1819,-6992,1
4520,4228,-9480,-624,24091,8621,1
472,4216,-15516,-624,2061,96,1
4344,14624,-3912,-624,-1196,-14708,1
14460,12912,-3172,-608,-6519,-5149,1
-1220,196,-15428,-672,-6010,-2057,1
-1228,2576,-14148,-608,1923,-4357,1
16984,7232,-552,-592,-10934,4639,1
1956,5236,-10028,-608,-125,2215,1
10232,7096,-11964,-608,-7105,752,1
8040,6136,-12304,-608,-5486,3331,1
14800,20600,-14648,-608,23051,-15846,1
8428,7528,-10180,-624,-19907,5450,1
2344,5784,-9240,-592,9357,6718,1
3772,6600,-6380,-608,17586,1409,1
1488,15824,-8340,-576,-17400,-12401,1
1984,7740,-17904,-608,11120,-4585,1
5628,17896,-11456,-608,27980,-11713,1
9228,6860,-312,-592,-2541,8659,1
14808,9880,-15700,-592,-10753,-6435,1
5124,10740,-11724,-640,-4066,893,1
8040,11096,-9212,-624,-7926,4283,1
1644,6632,-6000,-592,16087,7072,1
2284,6560,-7400,-608,-1218,-12982,1
9928,112,-9816,-592,-3751,-10126,1
1304,3128,-7460,-624,3227,-11169,1
-72,1216,-5472,-624,19298,6316,1
1320,11800,-9348,-608,-12487,-1379,1
-1280,7500,-4180,-592,9832,-5117,1
560,22488,-12220,-576,2601,-1205,1
-440,6148,-11876,-608,-1105,775,1
-384,12444,-12664,-592,-1180,-426,1
5320,11576,-10144,-560,766,-773,1
772,19988,-22356,-560,3539,-9643,1
744,7948,-12072,-608,-436,-1120,1
-3292,3892,2952,-592,10418,-3789,0
2904,9456,-6324,-592,1879,-4079,1
8428,7476,-12372,-592,-9,-2375,1
3180,2628,-13228,-608,10790,2327,1
2924,4892,-14172,-544,2022,-3452,1
-28688,32767,-268,-592,4411,4939,0
3388,1080,-18300,-560,-4873,-1286,1
4668,6032,-11984,-576,-13954,-111,1
1512,9732,-15116,-560,768,934,1
6916,6784,-10544,-560,-4326,-3266,1
5936,4404,-12268,-544,-7474,-2080,1
6912,3516,-8580,-560,9580,2793,1
13376,3436,-9232,-528,-112,-1801,1
13340,3388,-9248,-560,5,-1811,1
10748,10836,-10836,-544,-7723,2296,1
-15668,4564,-4652,-976,1319,-2112,0
-19668,3480,-172,-1008,2406,-6889,0
-15420,1504,-1012,-1024,264,-4877,0
-14464,2348,-2592,-960,2263,-6141,0
-12524,6708,-4776,-976,-1621,-2407,0
-15596,5672,-1276,-976,1057,-841,0
-11984,5944,-6656,-960,-2835,3696,0
-16628,3988,-260,-944,-668,-894,0
-16772,2784,-1700,-992,-144,-3773,0
-13020,2476,-9276,-976,-3044,-1908,0
-17608,968,-3564,-976,2372,-4243,0
-15988,92,5672,-976,-35,-1797,0
-15904,-252,3828,-960,-3,-1791,0
-18652,-400,104,-928,15496,-5827,0
-19536,-1856,-8088,-928,5266,-2316,0
-17692,-1108,-5820,-928,1792,-1513,0
-19304,-2472,-9468,-896,-4812,6482,0
-13804,-7416,-2064,-960,2331,-1377,0
-14412,-6212,-3520,-960,1031,-1696,0
-12904,-6008,-4676,-944,-2379,-2107,0
-14132,-3584,-4496,-928,2450,-3494,0
-15060,-596,6540,-928,-38,-1838,0
-14684,-4300,5980,-912,-25,-1806,0
-18692,-7400,2840,-944,-3172,-831,0
-744,-18596,-3604,-928,-11005,-592,1
-19900,-3160,5236,-912,156,-1520,0
-11932,12008,-3692,-928,836,-1380,0
10748,10316,3340,-928,-1429,-227,1
-14456,6796,-2676,-640,-942,-1764,0
-11960,3292,2704,-640,-5424,-3012,0
-15644,2540,-3476,-640,-564,-1212,0
-14848,-4980,6732,-608,4372,-1542,0
-14492,5700,3104,-592,4609,-2840,0
-15260,-900,-5772,-608,-2979,-271,0
-14652,-1632,-5948,-544,-5533,-1080,0
-17604,5592,-2364,-592,825,-1298,0
-11860,-504,-2936,-576,-12291,-3889,0
-13948,4172,-2556,-592,2065,2807,0
-14500,6584,-2444,-560,769,-3853,0
-13196,2636,-8676,-528,-1375,-2536,0
-19124,6984,-912,-544,632,-2359,0
-11888,5104,-4948,-544,792,1760,0
-16144,1796,-2764,-544,-4415,-2228,0
-13056,3108,-6388,-560,-1611,-2610,0
-16340,2612,1628,-512,7286,-142,0
-14984,1900,-6096,-528,-5661,-2389,0
-16832,-692,-3036,-544,196,1397,0
-12388,-1044,-4568,-544,6051,346,0
-15276,2420,-4376,-512,-5431,-2286,0
-16360,3392,1676,-544,5124,-2283,0
-18416,1276,-5412,-512,-348,-4614,0
-16996,660,4216,-528,5985,-334,0
-14764,-96,6824,-496,3818,-3752,0
-15688,-1220,972,-480,-2218,-2326,0
-16288,-2040,-4048,-496,-810,-2757,0
-15544,-1236,2480,-512,-112,-1860,0
-19328,448,-2408,-496,-28256,-7540,0
-16116,668,3612,-496,-594,-1454,0
-17440,-516,-2120,-496,-1176,-1873,0
-17240,-2492,4224,-464,2261,-1549,0
-21176,1788,-2908,-528,-10458,-1262,0
-18128,-716,4060,-496,12674,-3498,0
-15784,1200,-5468,-496,-354,-1996,0
-13796,-904,-600,-496,-1076,-2184,0
-15160,3864,-3664,-512,1962,-2998,0
-13980,6096,-4812,-464,-9546,-2112,0
-16436,14148,-4120,-496,-4509,101,0
-14708,4748,-1492,-496,-396,3308,0
-15604,3924,1232,-496,892,-1060,0
-16060,7052,-3548,-512,-5661,-5168,0
-14016,8096,2384,-512,4847,-4463,0
-16572,3032,2292,-512,-5528,-2361,0
-14492,6868,-1868,-544,549,-1671,0
-13452,9252,420,-528,2404,1348,0
-14528,5732,2032,-544,559,-2541,0
-14720,9752,-760,-528,-587,-875,0
-13788,10432,-4568,-528,-410,-2851,0
-12824,7188,3908,-528,1814,936,0
-13916,8608,-2404,-560,-3485,-337,0
-18412,3328,-1008,-560,-760,-2184,0
-12168,2260,-740,-528,-144,-1410,0
3660,10240,-8604,-1600,2139,-1701,1
-1012,8424,-13160,-1584,-3422,-1849,1
272,-1884,-14764,-1584,-951,-1644,1
-5852,-3108,-15656,-1584,-2383,-2325,1
-7284,-932,-16400,-1568,466,-1690,1
-13600,-928,-9024,-1568,-4798,-791,0
-8812,1604,-15236,-1616,-2411,-1856,0
-3008,-5172,-14736,-1584,602,-810,1
-6312,-3992,-16644,-1568,-473,-914,1
-5632,-4096,-14272,-1584,5,-4379,1
-3400,-2824,-15728,-1584,1169,-1719,1
-8876,-4800,-14016,-1584,2189,-1152,0
-5572,-5604,-14148,-1536,-206,-2350,1
-5064,-7932,-13628,-1568,5307,-1457,1
-5304,-4116,-15512,-1536,-598,-1799,1
-7748,-3584,-15048,-1600,-1539,-3086,0
-4180,-7996,-13844,-1600,-3220,-2727,1
-9580,-2532,-14488,-1568,-3085,-2602,0
-6564,-3884,-13316,-1568,-3231,-3920,0
-1692,-2840,-16944,-1568,-190,-1831,1
-8220,-1844,-15404,-1584,-5,-1165,0
-10960,-4604,-16904,-1584,4384,-969,0
-7556,-3468,-12676,-1584,-559,-790,0
-1108,-416,-12916,-1616,1071,-3386,1
-1216,-3988,-14584,-1440,3264,-1071,1
-2600,-2956,-15352,-1440,-77,-2344,1
2216,-7372,-15900,-1408,-608,941,1
120,-4336,-16172,-1440,1434,404,1
412,-3640,-14128,-1440,-3571,-1398,1
660,-8152,-17180,-1472,3848,-558,1
-2572,-6184,-15676,-1456,76,-4026,1
-264,-8744,-14056,-1440,-2302,-2294,1
-3100,-10400,-13012,-1424,1580,-1011,1
-1300,-7908,-15256,-1440,-1165,-2714,1
-348,-10788,-13052,-1424,-353,-725,1
-2344,-5984,-15504,-1424,566,-2670,1
-892,-9584,-14268,-1440,-896,-1926,1
-3240,-7596,-14440,-1440,3449,-1610,1
-636,-10636,-13184,-1440,-227,-1732,1
-3512,-5992,-14780,-1440,657,-2141,1
-1228,-7280,-14944,-1424,-3478,-2439,1
-4528,-8892,-13176,-1440,-4134,-1571,1
4420,-7452,-16636,-1408,-5990,4132,1
