Angular Velocity (rad/s),Child category,activity
-0.95,Typical  ,feeding themselves
-1.47,Typical  ,feeding themselves
-0.91,Typical  ,feeding themselves
-1,Typical  ,feeding themselves
5.8,Typical  ,feeding themselves
-51.44,Typical  ,feeding themselves
-64.42,Typical  ,feeding themselves
15.65,Typical  ,feeding themselves
-89.85,Typical  ,feeding themselves
-121.72,Typical  ,feeding themselves
-36.28,Typical  ,feeding themselves
-49.19,Typical  ,feeding themselves
-6.14,Typical  ,feeding themselves
27.81,Typical  ,feeding themselves
36.93,Typical  ,feeding themselves
-89.57,Typical  ,feeding themselves
-65.04,Typical  ,feeding themselves
-50.54,Typical  ,feeding themselves
-36.88,Typical  ,feeding themselves
82.09,Typical  ,feeding themselves
50.25,Typical  ,feeding themselves
0.56,Typical  ,feeding themselves
7.34,Typical  ,feeding themselves
-10.02,Typical  ,feeding themselves
-2.68,Typical  ,feeding themselves
-9.22,Typical  ,feeding themselves
0.35,Typical  ,feeding themselves
-0.35,Typical  ,feeding themselves
-0.62,Typical  ,feeding themselves
0.46,Typical  ,feeding themselves
-3.52,Typical  ,feeding themselves
25.99,Typical  ,feeding themselves
22.38,Typical  ,feeding themselves
-35.44,Typical  ,feeding themselves
-59.11,Typical  ,feeding themselves
18.98,Typical  ,feeding themselves
8.57,Typical  ,feeding themselves
-112.72,Typical  ,feeding themselves
-108.67,Typical  ,feeding themselves
62.56,Typical  ,feeding themselves
35.96,Typical  ,feeding themselves
-51.11,Typical  ,feeding themselves
-81.09,Typical  ,feeding themselves
-1.07,Typical  ,feeding themselves
-63.98,Typical  ,feeding themselves
-65.37,Typical  ,feeding themselves
-57.61,Typical  ,feeding themselves
-6.91,Typical  ,feeding themselves
-20.97,Typical  ,feeding themselves
-11.59,Typical  ,feeding themselves
-130.52,Typical  ,feeding themselves
-56.65,Typical  ,feeding themselves
-28.62,Typical  ,feeding themselves
-26.1,Typical  ,feeding themselves
-50.55,Typical  ,feeding themselves
-28.69,Typical  ,feeding themselves
-171.32,Typical  ,feeding themselves
-59.8,Typical  ,feeding themselves
-69.28,Typical  ,feeding themselves
42,Typical  ,feeding themselves
8.15,Typical  ,feeding themselves
-31,Typical  ,feeding themselves
-20.63,Typical  ,feeding themselves
-38.47,Typical  ,feeding themselves
0.12,Typical  ,feeding themselves
1.78,Typical  ,feeding themselves
-61.17,Typical  ,feeding themselves
-0.87,Typical  ,feeding themselves
-2.56,Typical  ,feeding themselves
0.63,Atypical  ,feeding themselves
-0.91,Atypical  ,feeding themselves
-0.12,Atypical  ,feeding themselves
-0.52,Atypical  ,feeding themselves
-2.52,Atypical  ,feeding themselves
-0.62,Atypical  ,feeding themselves
-4.35,Atypical  ,feeding themselves
1.99,Atypical  ,feeding themselves
-1.55,Atypical  ,feeding themselves
-181.71,Atypical  ,feeding themselves
-200.84,Atypical  ,feeding themselves
-4.03,Atypical  ,feeding themselves
249.43,Atypical  ,feeding themselves
-200.84,Atypical  ,feeding themselves
-200.84,Atypical  ,feeding themselves
-200.84,Atypical  ,feeding themselves
209.43,Atypical  ,feeding themselves
-200.84,Atypical  ,feeding themselves
-0.21,Atypical  ,feeding themselves
-204.63,Atypical  ,feeding themselves
-137.63,Atypical  ,feeding themselves
209.43,Atypical  ,feeding themselves
-207.69,Atypical  ,feeding themselves
195.9,Atypical  ,feeding themselves
-0.46,Typical  ,feeding to another person
-0.28,Typical  ,feeding to another person
-4.42,Typical  ,feeding to another person
-0.07,Typical  ,feeding to another person
-1.17,Typical  ,feeding to another person
30.67,Typical  ,feeding to another person
9.67,Typical  ,feeding to another person
-27.74,Typical  ,feeding to another person
-34.23,Typical  ,feeding to another person
-59.38,Typical  ,feeding to another person
-83.66,Typical  ,feeding to another person
14.81,Typical  ,feeding to another person
89.88,Typical  ,feeding to another person
122.86,Typical  ,feeding to another person
51.76,Typical  ,feeding to another person
53.13,Typical  ,feeding to another person
20.06,Typical  ,feeding to another person
-22.12,Typical  ,feeding to another person
-28.88,Typical  ,feeding to another person
-99.54,Typical  ,feeding to another person
-6.86,Typical  ,feeding to another person
-45.36,Typical  ,feeding to another person
-0.74,Typical  ,feeding to another person
-1.43,Typical  ,feeding to another person
-0.04,Typical  ,feeding to another person
-1.6,Typical  ,feeding to another person
-0.08,Typical  ,feeding to another person
25.08,Typical  ,feeding to another person
67.63,Typical  ,feeding to another person
126.25,Typical  ,feeding to another person
7.13,Typical  ,feeding to another person
-19.49,Typical  ,feeding to another person
-46.69,Typical  ,feeding to another person
-70.48,Typical  ,feeding to another person
-54.55,Typical  ,feeding to another person
-122.2,Typical  ,feeding to another person
-104.55,Typical  ,feeding to another person
-65.67,Typical  ,feeding to another person
-16.07,Typical  ,feeding to another person
-41.94,Typical  ,feeding to another person
-23.26,Typical  ,feeding to another person
-39.46,Typical  ,feeding to another person
-34.08,Typical  ,feeding to another person
7.52,Typical  ,feeding to another person
-0.07,Typical  ,feeding to another person
3.58,Typical  ,feeding to another person
0.21,Typical  ,feeding to another person
-0.29,Typical  ,feeding to another person
-1.78,Typical  ,feeding to another person
-134.39,Typical  ,feeding to another person
-68.33,Typical  ,feeding to another person
80.69,Typical  ,feeding to another person
106.98,Typical  ,feeding to another person
30.77,Typical  ,feeding to another person
26.75,Typical  ,feeding to another person
-120.4,Typical  ,feeding to another person
36.24,Typical  ,feeding to another person
162.29,Typical  ,feeding to another person
-102.26,Typical  ,feeding to another person
-90.78,Typical  ,feeding to another person
-195.38,Typical  ,feeding to another person
-182.32,Typical  ,feeding to another person
11.14,Typical  ,feeding to another person
87.62,Typical  ,feeding to another person
22.38,Typical  ,feeding to another person
-5.69,Typical  ,feeding to another person
-15.83,Typical  ,feeding to another person
-56.58,Typical  ,feeding to another person
2.33,Typical  ,feeding to another person
7.3,Typical  ,feeding to another person
-5.46,Typical  ,feeding to another person
-2.76,Typical  ,feeding to another person
-0.27,Typical  ,feeding to another person
2.27,Typical  ,feeding to another person
0.34,Atypical  ,feeding to another person
-1.34,Atypical  ,feeding to another person
-1.37,Atypical  ,feeding to another person
-1.15,Atypical  ,feeding to another person
-74.39,Atypical  ,feeding to another person
-24.66,Atypical  ,feeding to another person
249.43,Atypical  ,feeding to another person
108.89,Atypical  ,feeding to another person
209.43,Atypical  ,feeding to another person
206.11,Atypical  ,feeding to another person
209.43,Atypical  ,feeding to another person
-200.84,Atypical  ,feeding to another person
209.43,Atypical  ,feeding to another person
-60.11,Atypical  ,feeding to another person
209.43,Atypical  ,feeding to another person
107.78,Atypical  ,feeding to another person
-205.09,Atypical  ,feeding to another person
-200.84,Atypical  ,feeding to another person
-7.3,Atypical  ,feeding to another person
-200.84,Atypical  ,feeding to another person
-32.33,Atypical  ,feeding to another person
-86.81,Atypical  ,feeding to another person
-109.88,Atypical  ,feeding to another person
18.17,Atypical  ,feeding to another person
-205.83,Atypical  ,feeding to another person
